id,Manufacturer,URL,Model,Model Variant,CarStatus,Year,Price,Engine Size,ValuationPercentage,ValuationRange,Mileage,Body Type,Transmission,Fuel,Color,Doors,Reg,DateUpdated,OldPrice,OldDate,NumberOfPriceReductions,NumberReserved,DateCarAdded,DaysAdded
214,Mercedes,https://www.cargiant.co.uk/car/Mercedes/GLA/WR67XDP,GLAd,SE DCT,Available,2018,16799,2.2,,,33728,Hatch,Auto,Diesel,Red,5,WR67XDP,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
216,Mercedes,https://www.cargiant.co.uk/car/Mercedes/CLA/LP68XAC,CLA180,AMG Line Edition,Available,2018,16999,1.6,,,36800,Saloon,Manual,Petrol,White,N/A,LP68XAC,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
160,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/KW19OSN,C220d,SE,Available,2019,17499,2.0,,,56858,Saloon,Auto,Diesel,Met Grey,N/A,KW19OSN,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
162,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KP69WYY,C200,SE,Available,2019,18299,1.5,,,55228,Saloon,Auto,Petrol,Blue,N/A,KP69WYY,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
163,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/PX67JWO,C200,AMG Line,Available,2017,18499,2.0,,,54198,Coupe,Auto,Petrol,Met Grey,N/A,PX67JWO,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
166,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/LJ66VUE,C220d,AMG Line Premium,Available,2016,18799,2.1,,,48787,Coupe,Auto,Diesel,Silver,N/A,LJ66VUE,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
167,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/WX19NYS,C220d,AMG Line,Available,2019,18799,2.0,,,76008,Saloon,Auto,Diesel,Black,N/A,WX19NYS,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
168,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/HY66FNF,C220d,AMG Line 4Matic,Available,2016,18999,2.2,,,44217,Cabriolet / Convertible,Auto,Diesel,Met Black,N/A,HY66FNF,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
170,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/BV19WLH,C220d,AMG Line,Available,2019,19499,2.0,,,72154,Coupe,Auto,Diesel,Obsidian Black,N/A,BV19WLH,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
173,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C200/KN70OSU,C200,EQ Boost Sport,Available,2020,19999,1.5,,,40411,Saloon,Auto,Petrol,Blue,N/A,KN70OSU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
174,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/LR69OTA,C220d,AMG Line,Available,2019,19999,2.0,,,55244,Saloon,Auto,Diesel,Polar White,N/A,LR69OTA,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
176,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C250/SA68XBZ,C250d,AMG Line,Available,2018,20799,2.2,,,52788,Cabriolet / Convertible,Auto,Diesel,Silver,N/A,SA68XBZ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
177,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/KS67DFD,C220d,AMG Line,Available,2018,20799,2.2,,,24979,Coupe,Auto,Diesel,Silver,N/A,KS67DFD,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
178,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C300/KC19VDL,C300,AMG Line,Available,2019,20999,2.0,,,49152,Saloon,Auto,Petrol,Obsidian Black,N/A,KC19VDL,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
180,Mercedes,https://www.cargiant.co.uk/car/Mercedes/C220/DSZ1841,C220d,AMG Line,Available,2019,21299,2.0,,,51879,Coupe,Auto,Diesel,Grey,N/A,DSZ1841,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
144,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E200/LS68EVV,E200,AMG Line,Available,2018,21499,2.0,,,68804,Saloon,Auto,Petrol,Black,N/A,LS68EVV,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
145,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/DX18MTZ,E220d,AMG Line DCT,Available,2018,21999,2.0,,,60439,Coupe,Auto,Diesel,Black,N/A,DX18MTZ,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
146,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/WF18WJU,E220d,AMG Line,Available,2018,22299,2.0,,,54408,Coupe,Auto,Diesel,White,N/A,WF18WJU,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
147,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/KJ69CXX,E220d,AMG Line,Available,2020,25499,2.0,,,40574,Saloon,Auto,Diesel,Obsidian Black,N/A,KJ69CXX,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
150,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E300de/OV19OMK,E300de,AMG Line,Available,2019,27499,2.0,,,42968,Saloon,Auto,Hybrid,White,N/A,OV19OMK,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
152,Mercedes,https://www.cargiant.co.uk/car/Mercedes/E220/LM70KWC,E220d,AMG Line Premium,Available,2020,28999,2.0,,,18492,Coupe,Auto,Diesel,Black,N/A,LM70KWC,16:14 21/09/2023,0,,0,0,2023-09-21,0.0
